main_category,subcategory,product_id,title,product_url,price,old_price,reviews_count,rating,image_url,price_clean,old_price_clean,rating_clean,reviews_clean,price_category,has_discount,discount_percentage,discount_category
"Toys, Hobbies and Robots",DIY RC Parts,1994795.0,RadioMaster Pocket 2.4GHz 16CH ELRS/CC2500 Hall Gimbals EdgeTX System Radio Controller Built-in LED Lights Transmitter for FPV RC Racer Drone,https://www.banggood.com/RadioMaster-Pocket-2_4GHz-16CH-ELRS-or-CC2500-Hall-Gimbals-EdgeTX-System-Radio-Controller-Built-in-LED-Lights-Transmitter-for-FPV-RC-Racer-Drone-p-1994795.html?cur_warehouse=CN&ID=627915562975926299601&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$55.99,US$67.99,574,4.95,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/DB/10/19c4deb6-1d70-4c06-9620-b331bf44a91c.jpg.webp,55.99,67.99,4.95,574,Premium ($50-100),True,17.65,Small Discount (1-20%)
"Toys, Hobbies and Robots",DIY RC Parts,1995806.0,AEORC 3PCS Micro 1.7g Analog Servo With RX14 Mini 4CH Receiver Integrated 5A/1S Brushed ESC for Micro Indoor Airplane Support S-FHSS DSMX/2 Frsky D16 FlySky AFHDS 2A,https://www.banggood.com/AEORC-3PCS-Micro-1_7g-Analog-Servo-With-RX14-Mini-4CH-Receiver-Integrated-5A-or-1S-Brushed-ESC-for-Micro-Indoor-Airplane-Support-S-FHSS-DSMX-or-2-Frsky-D16-FlySky-AFHDS-2A-p-1995806.html?cur_warehouse=CN&ID=6324040&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$24.99,US$49.99,144,4.85,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/14/4C/69c821b9-cef6-4b0e-8966-f9805d621c21.jpg.webp,24.99,49.99,4.85,144,Economy ($10-25),True,50.01,Large Discount (41-60%)
"Toys, Hobbies and Robots",DIY RC Parts,2020606.0,RC ERA C138 Bell 206 RC Helicopter Spare Parts 7.4V 350mAh Battery,https://www.banggood.com/RC-ERA-C138-Bell-206-RC-Helicopter-SpareParts7_4V-350mAh-Battery-p-2020606.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$4.00,US$10.99,41,4.85,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A9/33/9243dfae-24e3-459a-8485-125d1f86e734.jpg.webp,4.0,10.99,4.85,41,Budget (<$10),True,63.6,Huge Discount (61%+)
"Toys, Hobbies and Robots",DIY RC Parts,2007095.0,YIPINSERVO G25 25kg 7.4V High Speed Voltage Steel Gears Waterproof Coreless Low Profile Servo for 1/8 1/10 RC Car Drift Arduinos Robot Industry,https://www.banggood.com/YIPINSERVO-G25-25kg-7_4V-High-Speed-Voltage-Steel-Gears-Waterproof-Coreless-Low-Profile-Servo-for-1-or-8-1-or-10-RC-Car-Drift-Arduinos-Robot-Industry-p-2007095.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$18.39,US$27.99,64,4.83,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/F2/B5/874039e1-42f3-460f-a9ef-71265415f240.jpg.webp,18.39,27.99,4.83,64,Economy ($10-25),True,34.3,Medium Discount (21-40%)
"Toys, Hobbies and Robots",DIY RC Parts,2014909.0,11.1V 3S1P 3200MAH 25C T Plug Lipo Battery For MJX 14301 14302 14303 14304 14209 14210 14211 RC Car Parts,https://www.banggood.com/11_1V-3S1P-3200MAH-25C-T-Plug-Lipo-Battery-For-MJX-14301-14302-14303-14304-14209-14210-14211-RC-Car-Parts-p-2014909.html?cur_warehouse=CN&ID=45586&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$18.94,US$26.99,44,4.82,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/5A/71/c0f57ac3-f9d6-44ec-9b94-7a5d5ee4f345.jpg.webp,18.94,26.99,4.82,44,Economy ($10-25),True,29.83,Medium Discount (21-40%)
"Toys, Hobbies and Robots",DIY RC Parts,1994722.0,Radiomaster R84 V2 4CH Compatible PWM RC Receiver for Frsky D8 D16 SFHSS Radiomaster TX12 T16S Transmitter,https://www.banggood.com/Radiomaster-R84-V2-4CH-Compatible-PWM-RC-Receiver-for-Frsky-D8-D16-SFHSS-Radiomaster-TX12-T16S-Transmitter-p-1994722.html?cur_warehouse=CN&ID=6304302&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$4.54,US$8.99,217,4.9,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/A5/3E/254f62d5-c0c2-4bb4-99f9-ac7063ec4bc2.png.webp,4.54,8.99,4.9,217,Budget (<$10),True,49.5,Large Discount (41-60%)
"Toys, Hobbies and Robots",DIY RC Parts,2022364.0,5 PCS BETAFPV 3.8V 300mAh 75C 1S LiHV Battery High Performance Z-Folding Process BT2.0 Connector for Air65 FPV Racing Drone,https://www.banggood.com/5-PCS-BETAFPV-3_8V-300mAh-75C-1S-LiHV-Battery-High-Performance-Z-Folding-Process-BT2_0-Connector-for-Air65-FPV-Racing-Drone-p-2022364.html?cur_warehouse=CN&ID=6296060&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$16.79,US$25.99,29,4.86,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/5B/8A/7d63a83b-c14a-45b0-b8aa-e743d8ac2321.jpg.webp,16.79,25.99,4.86,29,Economy ($10-25),True,35.4,Medium Discount (21-40%)
"Toys, Hobbies and Robots",DIY RC Parts,1998612.0,Gaoneng GNB 2S 7.6V 550mAh 100C Lipo Battery XT30 Plug for Happymodel Mobula 8 GEPRC TinyGo Crux3 Cinewhoop FPV Drone RC Helicopter,https://www.banggood.com/Gaoneng-GNB-2S-7_6V-550mAh-100C-Lipo-Battery-XT30-Plug-for-Happymodel-Mobula-8-GEPRC-TinyGo-Crux3-Cinewhoop-FPV-Drone-RC-Helicopter-p-1998612.html?cur_warehouse=CN&ID=554137&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$6.49,US$13.99,80,4.97,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/14/E4/d594d3bb-b8a4-4b1c-a940-382b530d6c30.jpg.webp,6.49,13.99,4.97,80,Budget (<$10),True,53.61,Large Discount (41-60%)
"Toys, Hobbies and Robots",DIY RC Parts,1996924.0,JX PDI-2205MG 4.6KG 22g 3 Wires Metal Gear Digital Servo For MJX 14210 14209 1/12 1/14 FY08 Riaaria MA-D12 RC car Upgrate Parts,https://www.banggood.com/JX-PDI-2205MG-4_6KG-22g-3-Wires-Metal-Gear-Digital-Servo-For-MJX-14210-14209-1-or-12-1-or-14-FY08-Riaaria-MA-D12-RC-car-Upgrate-Parts-p-1996924.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$4.99,US$12.99,58,4.91,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/B3/78/2a2cb9c1-2c98-40ab-bad9-7ec1b4167ddf.jpg.webp,4.99,12.99,4.91,58,Budget (<$10),True,61.59,Huge Discount (61%+)
"Toys, Hobbies and Robots",DIY RC Parts,1997251.0,RadioMaster R88 V2 2.4GHz 8CH Compatible Frsky D8/D16 SFHSS PWM/Sbus Receiver,https://www.banggood.com/RadioMaster-R88-V2-2_4GHz-8CH-Compatible-Frsky-D8-or-D16-SFHSS-PWM-or-Sbus-Receiver-p-1997251.html?cur_warehouse=CN&ID=6304302&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$6.00,US$19.99,231,4.85,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/93/54/0355930b-2a11-4993-a459-6ba4ebde5c4b.png.webp,6.0,19.99,4.85,231,Budget (<$10),True,69.98,Huge Discount (61%+)
"Toys, Hobbies and Robots",DIY RC Parts,2001066.0,30.5x30.5mm SpeedyBee F405 V5 F4 Flight Controller with 5V 9V BEC Output OX32 55A 3-6S 4in1 BrushLess ESC Stack Support DJI O3 / O4 for RC Drone FPV Racing,https://www.banggood.com/30_5x30_5mm-SpeedyBee-F405-V5-F4-Flight-Controller-with-5V-9V-BEC-Output-OX32-55A-3-6S-4in1-BrushLess-ESC-Stack-Support-DJI-O3-or-O4-for-RC-Drone-FPV-Racing-p-2001066.html?cur_warehouse=CN&ID=6334683&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$34.41,US$59.99,103,4.77,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/17/39/f5869fca-5006-4578-b5e8-e409ed420d9c.png.webp,34.41,59.99,4.77,103,Standard ($25-50),True,42.64,Large Discount (41-60%)
"Toys, Hobbies and Robots",DIY RC Parts,1992456.0,VIFLY WhoopStor 3 V3 40W 1.3A*6 6 Ports DC 1S Lipo Battery Charger Discharger with Storage Function LED Screen Support 4.2V 4.35V LIHV BT2.0 PH2.0 Plug,https://www.banggood.com/VIFLY-WhoopStor-3-V3-40W-1_3A+6-6-Ports-DC-1S-Lipo-Battery-Charger-Discharger-with-Storage-Function-LED-Screen-Support-4_2V-4_35V-LIHV-BT2_0-PH2_0-Plug-p-1992456.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=30d11763847527268,US$26.99,US$39.99,77,4.92,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/79/04/880ee1d9-d3ee-42f2-a217-7b8d5130d930.jpg.webp,26.99,39.99,4.92,77,Standard ($25-50),True,32.51,Medium Discount (21-40%)
